ID,Category,Series,HRC,Product Name,Product Code,Product Type,Flutes,Helix Angle,Coating,Material Compatibility,Application,Diameter Range,Image Path
PRIME-001,Prime Series,PRIME,55,4F Standard Carbide Flat End Mill,SCFE,Flat End Mill,4,28°,Advanced Nanocomposite,P - Steel / M - Stainless Steel / K - Cast Iron,"Slotting, Profiling, Side Milling, General Machining",Ø1mm – Ø20mm,/assets/products/prime-scfe.png
PRIME-002,Prime Series,PRIME,55,4F Long Carbide Flat End Mill,LCFE,Flat End Mill,4,28°,Advanced Nanocomposite,P - Steel / M - Stainless Steel / K - Cast Iron,"Deep Slotting, Deep Profiling, Extended Reach Machining",Ø1mm – Ø20mm,/assets/products/prime-lcfe.png
PRIME-003,Prime Series,PRIME,55,4F Extra Long Carbide Flat End Mill,ELCFE,Flat End Mill,4,28°,Advanced Nanocomposite,P - Steel / M - Stainless Steel / K - Cast Iron,"Very Deep Cavities, Maximum Reach Operations, Deep Mold Machining",Ø1mm – Ø20mm,/assets/products/prime-elcfe.png
ECONOMY-001,Economy Series,ECONOMY,58,4F Standard Flat End Mill,4F FEM,Flat End Mill,4,35°,TiSiN,P - Steel / M - Stainless Steel / K - Cast Iron / H - Hardened Steel,"General Milling, Slotting, Profiling, Side Milling",Ø0.5mm – Ø20mm,/assets/products/economy-4f-fem.png
ECONOMY-002,Economy Series,ECONOMY,58,2F Ball Nose End Mill,2F BN,Ball Nose End Mill,2,35°,TiSiN,P - Steel / M - Stainless Steel / H - Hardened Steel,"3D Contouring, Finishing, Complex Surface Machining",Ø0.2mm – Ø20mm,/assets/products/economy-2f-bn.png
ECONOMY-003,Economy Series,ECONOMY,58,4F Ball Nose End Mill,4F BN,Ball Nose End Mill,4,35°,TiSiN,P - Steel / M - Stainless Steel / H - Hardened Steel,"High-Speed 3D Contouring, Semi-Finishing, Complex Surfaces",Ø0.4mm – Ø20mm,/assets/products/economy-4f-bn.png
ECONOMY-004,Economy Series,ECONOMY,58,4F Standard Radius End Mill,4F REM,Corner Radius End Mill,4,35°,TiSiN,P - Steel / M - Stainless Steel / H - Hardened Steel,"Corner Radius Machining, Profile Milling, Edge Finishing",Ø1mm – Ø20mm,/assets/products/economy-4f-rem.png
ECONOMY-005,Economy Series,ECONOMY,58,4F Long Neck Ribber Flat End Mill,4F LNFEM,Long Neck Flat End Mill,4,35°,TiSiN,P - Steel / M - Stainless Steel / H - Hardened Steel,"Deep Rib Machining, Deep Pocket Milling, Mold Work",Ø0.3mm – Ø6mm,/assets/products/economy-4f-lnfem.png
ECONOMY-006,Economy Series,ECONOMY,58,2F Long Neck Ribber Ball Nose End Mill,2F LNBN,Long Neck Ball Nose End Mill,2,35°,TiSiN,P - Steel / M - Stainless Steel / H - Hardened Steel,"Deep 3D Contouring, Rib Finishing, Deep Cavity Finishing",Ø0.2mm – Ø6mm,/assets/products/economy-2f-lnbn.png
ECONOMY-007,Economy Series,ECONOMY,58,4F Long Neck Ribber Radius End Mill,4F LNRREM,Long Neck Radius End Mill,4,35°,TiSiN,P - Steel / M - Stainless Steel / H - Hardened Steel,"Deep Corner Radius Machining, Rib Profiling, Deep Pocket Profiling",Ø0.5mm – Ø6mm,/assets/products/economy-4f-lnrrem.png
